Polling Firm,Fieldwork Start,Fieldwork End,Period Estimated,Sample Size,A. Kiska,R. Fico,I. Radičová,A. Danko,R. Sulík,B. Kollár,B. Bugár,I. Matovič,R. Kaliňák,I. Gašparovič,J. Slota,I. Mikloš,V. Mečiar,M. Kotleba,P. Pellegrini,M. Dzurinda,D. Lipšic,P. Hrušovský,P. Rusko,R. Schuster,J. Fígeľ,P. Csáky,J. Ševc,J. Čarnogurský,Zuzana Martináková,R. Procházka,Dont Know/No One,Source
FOCUS,2018-01-23,2018-01-28,FALSE,1012,0.234,0.23,,0.143,0.121,0.109,0.101,0.101,0.092,,,,,0.064,0.037,,0.011,,,,,,,,,,0.281,https://www.focus-research.sk/files/n223_Spontanna%20dovera%20k%20politikom_januar2018.pdf
FOCUS,2017-08-01,2017-08-06,FALSE,1003,0.273,0.265,,0.144,0.136,0.111,0.128,0.125,0.105,,,,,0.104,0.055,,0.016,,,,,,,,,,0.203,https://www.focus-research.sk/files/231_Dovera%20v%20politikov_august2017.pdf
FOCUS,2016-06-14,2016-06-20,TRUE,1003,0.31,0.26,,0.2,0.17,0.09,0.15,0.13,0.1,,,,,0.07,0.05,,0.08,,,,,,,,,,0.25,https://www.focus-research.sk/files/231_Dovera%20v%20politikov_august2017.pdf
FOCUS,2015-09-01,2015-09-09,TRUE,1003,0.24,0.3,,0.04,0.05,,0.07,0.08,0.16,,,,,,0.07,,0.05,,,,,,,,,,0.3,https://www.focus-research.sk/files/231_Dovera%20v%20politikov_august2017.pdf
Polis,2015-07-08,2015-07-14,FALSE,1469,0.333,0.244,,0.07,0.029,,0.138,0.035,0.151,,,,,,,,0.035,0.045,,,0.045,,,,,0.098,,https://www.topky.sk/cl/100535/1482105/Velky-prieskum-dovery-politikov--Komu-Slovaci-veria-najviac-a-komu-najmenej-
MVK,2014-11-01,2014-11-07,FALSE,1125,0.286,0.322,,,,,0.1,0.1,0.18,,,,,,,,,,,,,,,,,,,https://www.topky.sk/cl/100535/1439167/Vysledky-prieskumu-vas-dostanu-do-kolien--Najdoveryhodnejsim-politikom-je-Fico
Polis,2014-08-20,2014-08-25,FALSE,1312,0.205,0.34,,,,,0.083,0.051,0.131,,,,,,,,0.028,0.028,,,0.03,,,,,0.094,,https://www.topky.sk/cl/100535/1421269/Rebricek-najdoveryhodnejsich-politikov-vedie-Fico-a-Kiska
FOCUS,2014-07-22,2014-07-29,TRUE,1051,0.18,0.23,,,0.03,,0.08,0.06,0.11,,,,,,,,0.04,,,,,,,,,,0.38,https://www.focus-research.sk/files/231_Dovera%20v%20politikov_august2017.pdf
FOCUS,2013-11-05,2013-11-12,FALSE,1049,,0.22,,,0.04,,0.08,0.07,0.1,,0.02,,,,,,0.08,,,,,,,,,,0.45,https://www.focus-research.sk/files/231_Dovera%20v%20politikov_august2017.pdf
Prieskumy,2013-10-17,2013-10-24,FALSE,1041,0.02,0.38,0.027,0.016,0.076,,0.134,0.106,0.173,0.041,,0.02,0.01,,,,0.138,0.122,,,0.036,,,,,0.036,,https://www.topky.sk/cl/100535/1367419/Tymto-politikom-najviac-verime--Vedu-Fico--Kalinak--Lipsic-a-Bugar
MVK,2013-09-26,2013-10-02,FALSE,1078,,0.322,,,,,0.118,0.103,0.214,0.081,,,,,,,0.105,0.106,,,,,,,,0.042,,https://www.topky.sk/cl/100535/1364508/Fico--politik-dvoch-tvari--Pozrite-sa--co-o-nom-povedal-prieskum
MVK,2013-07-02,2013-07-08,FALSE,1077,,0.376,,,0.047,,0.158,0.087,0.198,0.095,,0.02,,,,,0.074,0.091,,,0.057,,,,,,,https://www.topky.sk/cl/100535/1356138/Prieskum-MVK--Najdoveryhodnejsi-je-Fico--politiku-najviac-kazi-Sulik
MVK,2013-05-08,2013-05-15,FALSE,1085,,0.304,,,,,0.13,,0.168,0.091,,,,,,,0.124,,,,,,,,,,,https://www.topky.sk/cl/100535/1350350/Fico-a-superlativy--Najdoveryhodnejsi-politik--ktory-najviac-kazi-uroven-
Polis,2013-04-12,2013-04-17,FALSE,1002,,0.315,,,,,0.111,,0.13,,,,,,,,,,,,,,,,,,,https://www.topky.sk/cl/100535/1347087/Najdoveryhodnejsi-i-najnedoveryhodnejsi-politik--Takto-Slovaci-vnimaju-Fica
FOCUS,2012-06-05,2012-06-11,TRUE,1026,,0.3,0.04,,0.06,,0.08,0.09,0.12,0.08,0.03,,,,,,0.07,,,,,,,,,,0.39,https://www.ta3.com/clanok/15586/ludia-najviac-doveruju-prezidentovi-neveria-politickym-stranam
Polis,2012-05-05,2012-05-10,FALSE,1478,,0.327,0.141,,0.02,,0.069,0.031,0.084,0.133,,0.023,,,,,0.054,0.022,,,0.032,,,,,,0.401,https://www.topky.sk/cl/100535/1310532/Radicova-podla-prieskumu-druhou-najdoveryhodnejsou-politickou
MVK,2012-02-07,2012-02-12,FALSE,1128,,0.371,0.182,,,,0.129,0.106,0.101,0.143,,,,,,,0.116,,,,,,,,,,,https://www.topky.sk/cl/1000080/1300278/Podla-prieskumu-su-najdoveryhodnejsi-politici-Fico--Radicova-a-Gasparovic
FOCUS,2012-01-09,2012-01-16,FALSE,1076,,0.33,0.14,,0.07,,0.09,0.05,0.12,0.08,0.06,0.03,0.02,,,0.03,0.07,,,,,,,,,,0.33,https://www.ivo.sk/buxus/docs//vyskum/subor/IVO_Slovensko_pred_volbami_2012_grafy.pdf
FOCUS,2011-03-01,2011-03-08,FALSE,1025,,0.23,,,0.03,,0.07,0.03,0.09,,0.04,,,,,,0.03,,,,,,,,,,0.37,https://www.focus-research.sk/files/231_Dovera%20v%20politikov_august2017.pdf
MVK,2010-11-15,2010-11-22,FALSE,1120,,0.306,0.345,,0.047,,0.152,,0.11,0.154,,,,,,0.055,0.094,,,,0.089,,,,,,,https://www.topky.sk/cl/10/845422/Prieskum--Najserioznejsimi-politikmi-su-Radicova-a-Fico
FOCUS,2010-05-05,2010-05-11,FALSE,1055,,0.262,0.158,,0.057,,0.073,,0.124,0.08,0.071,0.07,0.056,,,0.027,0.033,,,,,,,,,,0.345,https://www.focus-research.sk/files/120_FOCUS_Dovera%20k%20politikom_maj%202010.pdf
FOCUS,2010-04-07,2010-04-13,TRUE,1040,,0.287,0.139,,0.051,,0.079,,0.131,0.114,0.057,0.052,0.054,,,0.024,0.014,,,,,,,,,,0.367,https://www.focus-research.sk/files/120_FOCUS_Dovera%20k%20politikom_maj%202010.pdf
FOCUS,2010-02-03,2010-02-09,TRUE,1031,,0.313,0.141,,0.032,,0.084,,0.159,0.124,0.057,0.052,0.056,,,0.053,0.042,,,,,,,,,,0.321,https://www.focus-research.sk/files/120_FOCUS_Dovera%20k%20politikom_maj%202010.pdf
ÚVVM,2009-01-01,2009-01-09,FALSE,1114,,0.38,0.09,,,,0.04,,0.12,0.14,0.12,,0.08,,,0.05,,,,,,,,,,,0.24,https://www.topky.sk/cl/10/390333/Fico-je-podla-SU-najdoveryhodnejsim-politikom
MVK,2008-12-12,2008-12-18,FALSE,1015,,0.396,0.153,,,,,,,0.297,,,,,,,,,,,,,,,,,0.192,https://www.topky.sk/cl/10/384004/Najdoveryhodnejsim-Fico--v-nedovere-vedie-Slota
ÚVVM,2008-12-01,2008-12-08,FALSE,1304,,0.336,0.066,,,,,,0.1,0.211,0.129,,,,,,,,,,,,,,,,,https://www.topky.sk/cl/10/372689/Gasparovic-si-vyraznejsie-polepsil--Radicova-stratila
ÚVVM,2008-11-01,2008-11-07,FALSE,1316,,0.33,0.095,,,,,,0.12,0.154,0.11,,0.084,,,,,,,,,,,,,,0.265,https://www.topky.sk/cl/10/355063/Premier-Fico-stale-vedie-prieskum-doveryhodnosti
ÚVVM,2008-10-01,2008-10-07,FALSE,1272,,0.314,0.112,,,,0.057,,0.108,0.14,0.102,0.057,0.081,,,0.042,,0.03,,,,,,,,,0.287,https://www.topky.sk/cl/10/335381/Trojkou-v-doveryhodnosti-je-uz-Radicova
ÚVVM,2008-09-01,2008-09-08,FALSE,1274,,0.324,0.067,,,,,,,0.156,,,,,,,,,,,,,,,,,,https://www.topky.sk/cl/10/335381/Trojkou-v-doveryhodnosti-je-uz-Radicova
ÚVVM,2008-08-01,2008-08-07,FALSE,1247,,,,,,,,,,0.176,,,,,,,,,,,,,,,,,,https://www.topky.sk/cl/10/335381/Trojkou-v-doveryhodnosti-je-uz-Radicova
ÚVVM,2007-12-01,2007-12-10,FALSE,1097,,0.359,0.064,,,,0.05,,0.097,0.139,0.145,0.031,0.091,,,0.068,0.023,0.038,,,,0.022,,,,,0.26,https://www.topky.sk/cl/10/188130/Najdoveryhodnejsi-je-opat-Fico
ÚVVM,2007-11-01,2007-11-09,FALSE,1113,,0.318,0.086,,,,0.074,,0.085,0.147,0.133,0.041,0.082,,,0.059,0.022,0.029,,,,0.018,,,,,0.251,https://www.topky.sk/cl/10/188130/Najdoveryhodnejsi-je-opat-Fico
ÚVVM,2007-10-01,2007-10-08,FALSE,1085,,0.313,0.061,,,,0.055,,0.086,0.149,0.115,0.051,0.109,,,0.061,0.018,0.049,,,,0.025,,,,,0.258,https://www.topky.sk/cl/10/177543/Fico-je-stale-najdoveryhodnejsim-politikom
MVK,2007-10-01,2007-10-05,FALSE,1101,,0.407,0.199,,,,0.081,,0.12,0.284,0.176,0.068,0.15,,,0.104,0.028,0.051,,,0.037,0.034,,,0.01,,0.134,https://www.topky.sk/cl/10/176990/Slovaci-najviac-doveruju-Ficovi--najmenej-Slotovi
ÚVVM,2007-09-01,2007-09-10,FALSE,1117,,0.326,0.054,,,,0.061,,0.093,0.139,0.139,0.039,0.112,,,0.061,0.025,0.044,,,,0.026,,,,,0.246,https://www.topky.sk/cl/10/173134/Najdoveryhodnejsim-zostava-Fico
ÚVVM,2007-08-01,2007-08-09,FALSE,1111,,0.324,0.045,,,,0.065,,0.083,0.125,0.117,0.039,0.098,,,0.057,0.02,0.038,,,,0.023,,,,,0.266,https://www.topky.sk/cl/10/177543/Fico-je-stale-najdoveryhodnejsim-politikom
ÚVVM,2007-07-01,2007-07-09,FALSE,1105,,0.356,0.039,,,,0.061,,0.088,0.152,0.123,0.043,0.107,,,0.057,,0.039,,,,,,,,,,https://www.topky.sk/cl/10/164891/Ficovi-po-troch-mesiacoch-stupla-popularita
ÚVVM,2007-06-01,2007-06-08,FALSE,1073,,0.343,0.039,,,,0.083,,0.105,0.121,0.133,0.043,0.089,,,0.071,,0.033,,,,,,,,,,https://www.topky.sk/cl/10/161735/Fico-je-stale-najdoveryhodnejsim-politikom
ÚVVM,2007-05-01,2007-05-10,FALSE,1083,,0.373,0.022,,,,0.083,,0.091,0.09,0.14,0.044,0.082,,,0.064,,0.031,,,,,,,,,,https://www.topky.sk/cl/10/161735/Fico-je-stale-najdoveryhodnejsim-politikom
ÚVVM,2007-04-01,2007-04-10,FALSE,1110,,0.399,0.038,,,,0.103,,0.082,0.139,0.156,0.044,0.126,,,0.065,,,,,,,,,,,,https://www.topky.sk/cl/10/161735/Fico-je-stale-najdoveryhodnejsim-politikom
ÚVVM,2007-03-01,2007-03-09,FALSE,1109,,0.403,0.048,,,,0.07,,0.099,0.144,0.115,0.046,0.097,,,0.074,0.015,0.03,,,0.01,0.018,,,,,0.203,https://www.topky.sk/cl/10/150383/Patina-obcanov-nedoveruje-ziadnemu-politikovi
ÚVVM,2007-02-01,2007-02-09,FALSE,1131,,0.398,0.034,,,,0.082,,0.104,0.149,0.125,0.038,0.101,,,0.059,0.022,0.029,,,0.01,0.016,,,,,0.198,https://www.topky.sk/cl/10/150383/Patina-obcanov-nedoveruje-ziadnemu-politikovi
ÚVVM,2007-01-01,2007-01-09,FALSE,1119,,0.425,0.053,,,,0.069,,0.095,0.137,0.137,0.044,0.097,,,0.055,0.017,0.024,,,0.008,0.008,,,,,0.223,https://www.topky.sk/cl/10/138250/Najdoveryhodnejsimi-politikmi-su-Fico-a-Slota
ÚVVM,2006-12-01,2006-12-08,FALSE,1262,,0.367,0.045,,,,0.07,,0.087,0.152,0.112,0.038,0.115,,,0.074,0.027,0.028,,,,,,,,,0.212,https://www.topky.sk/cl/10/138250/Najdoveryhodnejsimi-politikmi-su-Fico-a-Slota
ÚVVM,2006-11-01,2006-11-09,FALSE,1300,,0.335,0.043,,,,0.086,,0.088,0.126,0.115,0.044,0.103,,,0.066,0.024,0.017,,,,,,,,,0.26,https://www.topky.sk/cl/10/138250/Najdoveryhodnejsimi-politikmi-su-Fico-a-Slota
ÚVVM,2006-09-01,2006-09-01,FALSE,1295,,0.368,0.033,,,,0.082,,0.077,0.14,0.122,0.05,0.124,,,0.063,0.028,0.044,,,,0.016,,,0.021,,0.216,https://www.topky.sk/cl/10/125602/Oblubenost-Fica--Meciara-a-Slotu-stupa
ÚVVM,2006-08-01,2006-08-10,FALSE,1248,,0.349,0.046,,,,0.085,,0.086,0.106,0.116,0.051,0.108,,,0.066,0.029,0.027,,,,0.026,,,0.017,,0.238,https://www.topky.sk/cl/10/122668/V-auguste-najdoveryhodnejsim-politikom-premier-R--Fico
ÚVVM,2006-07-01,2006-07-10,FALSE,1236,,0.325,0.052,,,,0.094,,0.071,0.106,0.126,0.058,0.105,,,0.086,0.024,0.033,,,,0.024,,,0.031,,0.237,https://www.topky.sk/cl/10/122668/V-auguste-najdoveryhodnejsim-politikom-premier-R--Fico
ÚVVM,2006-06-03,2006-06-12,FALSE,1313,,0.274,0.039,,,,0.093,,0.042,0.105,0.111,0.054,0.126,,,0.069,0.027,0.056,,,,0.032,,,0.066,,0.242,https://www.topky.sk/cl/10/122668/V-auguste-najdoveryhodnejsim-politikom-premier-R--Fico
FOCUS,2006-04-05,2006-04-11,FALSE,1034,,0.31,0.04,,,,0.12,,0.06,0.13,0.11,0.05,0.12,,,0.08,0.05,0.06,,,,,,,,,0.26,https://www.ivo.sk/buxus/docs//rozne/Slovensko_pred_volbami_2010.pdf
ÚVVM,2006-04-01,2006-04-10,FALSE,1278,,0.265,0.031,,,,0.099,,0.035,0.118,0.07,0.043,0.12,,,0.063,0.029,0.05,0.017,,,0.015,,,0.084,,0.29,https://www.topky.sk/cl/11283/110679/Najdoveryhodnejsim-politikom-stale-Robert-Fico
ÚVVM,2006-03-01,2006-03-10,FALSE,1282,,0.276,0.044,,,,0.088,,0.039,0.127,0.071,0.042,0.118,,,0.075,0.028,0.045,0.006,,,0.019,,,0.106,,0.252,https://www.topky.sk/cl/11283/108214/Prieskum--Najdoveryhodnejsi-Fico--Gasparovicovi-dovera-poklesla
ÚVVM,2006-02-01,2006-02-10,FALSE,1323,,0.268,0.02,,,,0.088,,0.027,0.14,0.041,0.04,0.102,,,0.056,0.035,0.06,0.005,,,0.009,,,0.075,,0.264,https://www.topky.sk/cl/11283/110679/Najdoveryhodnejsim-politikom-stale-Robert-Fico
ÚVVM,2006-01-02,2006-01-10,FALSE,1282,,,,,,,,,,0.171,,,,,,,,,,,,,,,,,,https://www.topky.sk/cl/11283/108214/Prieskum--Najdoveryhodnejsi-Fico--Gasparovicovi-dovera-poklesla
MVK,2005-12-05,2005-12-11,FALSE,1143,,0.332,,,,,0.104,,0.066,0.284,0.084,0.075,0.087,,,0.08,,0.08,,,,,,,0.094,,,https://www.topky.sk/cl/10/97665/Najdoveryhodnejsi-Fico--najnedoveryhodnejsi-Dzurinda
ÚVVM,2005-04-01,2005-04-08,FALSE,1240,,,,,,,0.123,,,0.159,0.052,0.049,,,,0.057,,0.056,0.048,,,,,,,,0.232,https://www.topky.sk/cl/10/65458/Fico-si-upevnil-poziciu-najdoveryhodnejsieho-politika
ÚVVM,2004-10-01,2004-10-08,FALSE,1111,,0.222,,,,,0.095,,0.027,0.12,0.028,0.051,0.107,,,0.06,0.048,0.047,0.039,,0.025,0.028,,,,,0.249,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm1004a.htm
ÚVVM,2004-09-01,2004-09-10,FALSE,1234,,0.232,,,,,0.096,,0.016,0.146,0.042,0.034,0.117,,,0.054,0.05,0.029,0.031,,0.016,0.017,,,,,0.293,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm0904a.htm
ÚVVM,2004-08-01,2004-08-10,FALSE,1288,,0.226,,,,,0.086,,0.013,0.145,0.043,0.026,0.141,,,0.051,0.056,0.037,0.03,,0.013,0.011,0.012,,,,0.287,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm0804b.htm
ÚVVM,2004-07-01,2004-07-08,FALSE,1248,,0.229,,,,,0.12,,0.021,0.132,0.033,0.028,0.136,,,0.048,0.042,0.049,0.033,,0.021,0.021,0.013,,,,0.274,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm0704a.htm
ÚVVM,2004-06-01,2004-06-10,FALSE,1253,,0.245,,,,,0.111,,0.025,0.108,0.046,0.025,0.138,,,0.047,0.027,0.061,0.057,0.016,0.023,0.015,0.008,,,,0.241,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm0604a.htm
ÚVVM,2004-05-01,2004-05-10,FALSE,1274,,0.222,,,,,0.108,,0.013,0.135,0.031,0.022,0.159,,,0.036,0.027,0.053,0.038,0.011,0.023,0.019,0.005,,,,0.273,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm0604a.htm
ÚVVM,2004-04-01,2004-04-08,FALSE,1278,,0.231,,,,,0.091,,0.014,0.121,0.034,0.034,0.19,,,0.038,0.018,0.03,0.049,0.034,0.022,0.018,0.01,,,,0.244,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm0404a.htm
ÚVVM,2004-03-01,2004-03-09,FALSE,1241,,0.246,,,,,0.115,,0.015,0.064,0.068,0.029,0.193,,,0.043,0.023,0.031,0.046,0.049,0.035,0.012,0.006,,,,0.256,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm0304b.htm
ÚVVM,2004-02-01,2004-02-09,FALSE,1206,,0.258,,,,,0.122,,0.026,0.071,0.046,0.023,0.151,,,0.031,0.031,0.047,0.028,0.052,0.029,0.018,0.016,,,,0.237,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm0204b.htm
ÚVVM,2004-01-01,2004-01-12,FALSE,1229,,0.243,,,,,0.107,,0.02,0.05,0.059,0.025,0.161,,,0.04,0.031,0.047,0.044,0.069,0.032,0.021,0.02,,,,0.236,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm0104a.htm
ÚVVM,2003-12-01,2003-12-09,FALSE,1232,,0.248,,,,,0.093,,0.012,0.026,0.051,0.02,0.136,,,0.033,0.032,0.026,0.03,0.055,0.016,0.012,0.013,,,,0.361,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm1203a.htm
ÚVVM,2003-11-01,2003-11-10,FALSE,1225,,0.253,,,,,0.113,,0.021,0.019,0.042,0.018,0.133,,,0.054,0.032,0.048,0.061,0.024,0.018,0.019,0.027,,,,0.291,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm1103a.htm
ÚVVM,2003-10-01,2003-10-09,FALSE,1255,,0.262,,,,,0.11,,0.019,0.011,0.032,0.018,0.121,,,0.049,0.037,0.069,0.057,0.037,0.05,0.009,0.012,,,,0.305,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm1003a.htm
ÚVVM,2003-09-01,2003-09-09,FALSE,1259,,0.246,,,,,0.082,,0.014,0.011,0.037,0.036,0.144,,,0.073,0.027,0.046,0.076,0.024,0.03,0.013,0.009,,,,0.289,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm0903b.htm
ÚVVM,2003-08-01,2003-08-11,FALSE,1197,,0.252,,,,,0.075,,0.011,,0.043,0.019,0.139,,,0.075,0.035,0.038,0.08,0.029,0.032,0.018,0.016,,,,0.31,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm0803a.htm
ÚVVM,2003-07-01,2003-07-10,FALSE,1227,,0.225,,,,,0.082,,0.009,0.018,0.035,0.026,0.145,,,0.086,0.038,0.069,0.073,0.033,0.022,0.015,0.008,,,,0.275,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm0703a.htm
ÚVVM,2003-06-01,2003-06-09,FALSE,1103,,0.243,,,,,0.081,,0.006,,0.037,0.024,0.146,,,0.078,0.027,0.045,0.062,0.033,0.053,0.015,0.013,,,,0.313,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm0603a.htm
ÚVVM,2003-05-01,2003-05-12,FALSE,1129,,0.211,,,,,0.102,,0.011,,0.029,0.032,0.135,,,0.083,0.041,0.051,0.059,0.018,0.052,0.017,0.023,,,,0.332,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm0503a.htm
ÚVVM,2003-04-01,2003-04-10,FALSE,1266,,0.263,,,,,0.092,,0.012,0.013,0.035,0.034,0.169,,,0.088,0.031,0.067,0.06,0.018,0.06,0.02,0.032,,,,0.196,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm0403a.htm
ÚVVM,2003-03-01,2003-03-10,FALSE,1245,,0.289,,,,,0.092,,0.005,0.018,0.04,0.039,0.157,,,0.073,0.037,0.067,0.071,0.034,0.042,0.011,0.033,0.015,,,0.186,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm0303a.htm
ÚVVM,2003-02-01,2003-02-10,FALSE,1217,,0.229,,,,,0.102,,0.003,0.01,0.04,0.041,0.163,,,0.091,0.03,0.06,0.06,0.025,0.056,0.016,0.026,0.008,,,0.259,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm0203a.htm
ÚVVM,2003-01-02,2003-01-09,FALSE,1073,,0.194,,,,,0.088,,,0.019,0.039,0.041,0.132,,,0.105,0.025,0.063,0.054,0.029,0.019,0.017,0.015,0.013,,,0.33,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm0103a.htm
ÚVVM,2002-12-01,2002-12-09,FALSE,1037,,0.203,,,,,0.112,,,0.023,0.025,0.057,0.158,,,0.128,0.034,0.058,0.072,0.018,0.034,0.029,0.02,0.002,,,0.286,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm1202a.htm
ÚVVM,2002-11-01,2002-11-11,FALSE,1075,,0.215,,,,,0.086,,,0.031,0.025,0.064,0.155,,,0.142,0.033,0.079,0.097,0.032,0.033,0.014,0.017,0.002,,,0.266,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm1102f.htm
ÚVVM,2002-10-01,2002-10-10,FALSE,1067,,0.17,,,,,0.103,,,0.041,0.038,0.062,0.147,,,0.165,0.002,0.075,0.085,0.021,0.048,0.021,0.025,,,,0.247,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm1002a.htm
ÚVVM,2002-08-31,2002-09-03,FALSE,2589,,0.215,,,,,0.12,,,0.091,0.061,0.043,0.197,,,0.093,0.001,0.047,0.092,0.017,0.023,0.024,0.006,,,,0.221,http://www.statistics.sk/webdata/slov/infor/uvvm/uvvm1002a.htm